Time, Reading1, Reading2
596877, 536, 462
597408, 537, 460
597939, 535, 462
598469, 537, 461
599000, 536, 462
599530, 536, 461
600060, 536, 461
600591, 536, 462
601121, 536, 461
601652, 537, 461
602183, 536, 462
602714, 536, 461
603244, 535, 462
603774, 537, 461
604305, 536, 463
604835, 536, 461
605366, 536, 461
605896, 536, 461
606428, 537, 461
606958, 537, 461
607489, 537, 462
608015, 537, 461
608545, 535, 462
609077, 536, 462
609607, 536, 462
610138, 537, 462
610668, 536, 463
611198, 536, 462
611729, 537, 463
612259, 536, 461
612791, 536, 463
613321, 538, 462
613852, 535, 463
614382, 537, 461
614913, 537, 462
615443, 537, 463
615974, 537, 461
616505, 537, 463
617035, 537, 463
617566, 538, 462
618096, 538, 462
618627, 536, 463
619157, 537, 463
619687, 536, 463
620219, 537, 462
620749, 537, 462
621280, 536, 463
621810, 537, 463
622341, 538, 462
622874, 537, 463
623405, 537, 464
623936, 538, 462
624466, 538, 462
624997, 538, 462
625527, 538, 463
626058, 538, 464
626588, 537, 464
627119, 538, 462
627650, 538, 463
628180, 538, 463
628711, 538, 464
629241, 539, 462
629772, 537, 464
630302, 539, 463
630834, 537, 465
631364, 537, 464
631895, 537, 463
632425, 538, 464
632955, 537, 464
633486, 538, 463
634017, 537, 463
634548, 538, 463
635078, 538, 464
635609, 538, 463
636139, 537, 464
636669, 539, 462
637201, 538, 463
637734, 538, 463
638265, 538, 463
638795, 537, 464
639326, 538, 462
639856, 538, 462
640388, 539, 463
640918, 537, 463
641460, 539, 463
641990, 538, 463
642521, 539, 463
643051, 537, 464
643581, 537, 464
644113, 538, 463
644643, 537, 463
645174, 539, 463
645704, 538, 464
646235, 538, 464
646766, 539, 464
647320, 539, 462
647852, 538, 463
648382, 538, 464
648912, 538, 465
649443, 539, 462
649973, 538, 465
650504, 538, 464
651034, 538, 464
651565, 539, 463
652095, 538, 464
652625, 540, 464
653159, 537, 464
653689, 540, 463
654220, 537, 464
654750, 538, 464
655281, 539, 464
655812, 539, 464
656343, 539, 464
656873, 540, 464
657403, 539, 465
657934, 538, 464
658464, 537, 465
658995, 539, 464
659525, 538, 465
660056, 540, 463
660586, 540, 465
661116, 539, 463
661647, 539, 465
662177, 538, 464
662708, 539, 464
663238, 540, 463
663769, 538, 465
664299, 539, 464
664829, 538, 465
665360, 539, 465
665891, 539, 465
666422, 538, 465
666952, 538, 465
667483, 540, 465
668016, 540, 464
668547, 539, 465
669077, 539, 466
669607, 540, 465
670138, 538, 465
670668, 539, 464
671199, 540, 465
671729, 540, 465
672260, 539, 466
672790, 540, 464
673321, 540, 465
673852, 540, 464
674382, 539, 465
674913, 539, 465
675443, 539, 466
675974, 538, 465
676504, 540, 465
677035, 541, 464
677566, 539, 466
678096, 540, 465
678627, 540, 465
679157, 540, 465
679688, 540, 465
680218, 541, 466
680749, 539, 466
681279, 540, 465
681809, 539, 465
682340, 540, 466
682871, 539, 466
683405, 540, 466
683935, 540, 465
684466, 540, 465
684996, 540, 466
685527, 541, 465
686057, 540, 466
686587, 540, 466
687118, 540, 466
687648, 541, 465
688180, 540, 465
688710, 541, 466
689241, 541, 466
689771, 540, 466
690301, 541, 466
690832, 541, 466
691362, 541, 466
691893, 542, 466
692423, 541, 467
692955, 540, 466
693485, 540, 466
694016, 541, 467
694546, 540, 467
695076, 541, 467
695607, 541, 467
696137, 541, 465
696668, 541, 466
697198, 540, 468
697730, 540, 466
698263, 540, 468
698793, 540, 467
699324, 540, 468
699854, 542, 466
700385, 541, 466
700915, 541, 467
701446, 541, 467
701977, 541, 467
702508, 540, 468
703038, 541, 466
703568, 541, 467
704099, 541, 467
704629, 541, 467
705160, 540, 467
705691, 540, 467
706222, 540, 467
706752, 540, 467
707282, 540, 467
707813, 540, 468
708343, 541, 468
708874, 541, 467
709405, 540, 468
709936, 540, 468
710466, 542, 467
710996, 541, 467
711527, 542, 467
712057, 542, 467
712589, 541, 468
713119, 542, 466
713653, 541, 469
714183, 541, 468
714714, 541, 468
715244, 541, 468
715776, 542, 467
716306, 542, 467
716836, 542, 468
717367, 541, 468
717897, 543, 468
718429, 542, 467
718959, 543, 467
719490, 541, 469
720020, 541, 468
720550, 542, 467
721081, 543, 467
721612, 542, 468
722143, 542, 468
722673, 541, 469
723204, 541, 468
723734, 542, 470
724264, 543, 468
724796, 542, 468
725326, 543, 469
725857, 542, 469
726387, 541, 469
726918, 543, 467
727449, 543, 469
727980, 542, 469
728513, 542, 470
729043, 542, 469
729574, 542, 469
730105, 543, 469
730636, 542, 469
731166, 542, 469
731697, 543, 468
732227, 542, 470
732759, 542, 468
733289, 543, 468
733819, 542, 469
734350, 542, 469
734880, 543, 469
735412, 542, 471
735942, 543, 469
736473, 542, 470
737003, 543, 468
737534, 542, 470
738065, 543, 469
738595, 542, 470
739126, 543, 468
739657, 543, 470
740188, 542, 469
740718, 543, 468
741249, 543, 470
741780, 542, 470
742310, 542, 470
742841, 544, 470
743371, 543, 470
743899, 543, 469
744429, 543, 471
744960, 543, 469
745491, 543, 469
746021, 544, 470
746552, 543, 470
747082, 544, 469
747614, 543, 470
748144, 544, 469
748675, 544, 469
749205, 544, 470
749736, 543, 470
750267, 542, 470
750797, 542, 469
751328, 542, 471
751859, 543, 470
752390, 543, 471
752920, 544, 469
753452, 544, 469
753982, 544, 469
754512, 544, 470
755043, 543, 470
755574, 543, 469
756105, 543, 470
756635, 544, 470
757166, 544, 471
757697, 544, 469
758227, 543, 471
758761, 544, 471
759292, 544, 469
759823, 544, 470
760353, 544, 470
760884, 543, 471
761415, 544, 470
761946, 544, 471
762476, 545, 470
763006, 543, 470
763538, 544, 471
764068, 543, 471
764599, 545, 469
765129, 544, 470
765661, 544, 471
766191, 544, 471
766722, 544, 471
767253, 544, 471
767783, 543, 471
768314, 543, 470
768844, 545, 471
769376, 546, 470
769906, 545, 470
770437, 545, 470
770967, 544, 472
771499, 546, 470
772029, 544, 471
772559, 544, 472
773091, 544, 471
773624, 545, 471
774155, 546, 470
774685, 543, 473
775217, 544, 472
775747, 545, 472
776278, 546, 472
776809, 545, 472
777339, 544, 472
777870, 544, 472
778400, 545, 472
778932, 545, 473
779462, 545, 471
779993, 546, 472
780523, 545, 473
781080, 544, 471
781611, 545, 471
782141, 546, 471
782672, 545, 472
783203, 546, 471
783733, 546, 471
784264, 545, 471
784794, 546, 471
785325, 546, 471
785855, 546, 471
786385, 544, 472
786917, 545, 471
787447, 545, 473
787978, 547, 471
788508, 546, 472
789042, 546, 472
789572, 545, 473
790103, 546, 472
790633, 546, 472
791164, 545, 472
791695, 546, 472
792225, 547, 472
792756, 545, 473
