Time,Reading1,Reading2
92535083,495,460
92535619,495,460
92536156,495,461
92536692,494,460
92537229,495,460
92537765,494,461
92538302,495,460
92538839,494,461
92539375,495,460
92539912,495,460
92540448,495,460
92540985,496,461
92541521,495,461
92542058,494,460
92542595,494,460
92543131,494,460
92543668,495,460
92544207,495,461
92544744,496,461
92545281,495,461
92545817,495,460
92546354,495,461
92546890,496,461
92547427,495,461
92547963,495,461
92548500,495,460
92549037,495,460
92549573,496,461
92550110,495,461
92550646,495,460
92551184,494,460
92551720,494,460
92552257,495,460
92552794,496,460
92553330,495,460
92553867,496,460
92554429,494,460
92554966,495,460
92555502,495,460
92556039,495,461
92556574,496,461
92557111,494,460
92557650,494,460
92558187,495,460
92558724,495,460
92559260,495,461
92559796,495,460
92560332,494,460
92560869,494,460
92561405,496,460
92561942,495,460
92562479,495,460
92563015,496,460
92563552,495,460
92564087,496,460
92564624,495,460
92565160,494,461
92565697,495,461
92566234,495,460
92566770,495,460
92567307,494,460
92567843,494,460
92568379,494,460
92568915,495,460
92569452,495,461
92569989,494,460
92570525,495,460
92571062,494,460
92571601,494,460
92572137,495,460
92572674,494,460
92573210,496,460
92573747,495,460
92574283,495,460
92574820,495,461
92575356,495,460
92575893,494,460
92576430,494,460
92576966,495,460
92577503,495,460
92578038,495,460
92578575,494,461
92579111,496,460
92579648,495,460
92580185,495,460
92580721,495,461
92581258,494,461
92581794,494,460
92582331,494,460
92582867,494,460
92583404,495,460
92583940,494,460
92584476,495,461
92585013,495,460
92585552,495,460
92586089,495,460
92586626,495,460
92587162,495,460
92587699,495,460
92588235,495,461
92588772,495,461
92589308,495,460
92589845,496,460
92590382,494,460
92590918,495,460
92591454,495,460
92591990,496,460
92592527,494,461
92593063,494,460
92593600,495,460
92594137,495,460
92594673,496,461
92595210,494,461
92595746,496,461
92596283,495,461
92596819,495,461
92597356,495,460
92597893,495,460
92598429,496,460
92598969,494,460
92599504,496,460
92600041,496,460
92600578,495,460
92601114,494,460
92601651,496,460
92602187,495,460
92602724,494,461
92603260,495,460
92603797,494,460
92604334,494,460
92604870,496,460
92605407,496,460
92605943,494,460
92606480,494,460
92607016,496,460
92607553,495,461
92608090,495,460
92608626,495,460
92609163,494,460
92609699,495,460
92610236,495,460
92610772,495,460
92611309,494,461
92611846,496,460
92612382,494,460
92612922,493,460
92613458,495,461
92613995,494,460
92614532,494,460
92615068,496,460
92615605,496,460
92616141,494,460
92616678,495,460
92617214,495,460
92617751,495,461
92618288,494,461
92618824,495,460
92619361,495,460
92619897,494,460
92620434,494,461
92620971,495,461
92621507,494,460
92622044,496,460
92622580,494,460
92623117,495,460
92623653,495,460
92624190,495,460
92624727,495,460
92625263,495,460
92625800,495,460
92626356,496,460
92626891,495,460
92627428,495,461
92627964,495,460
92628500,494,460
92629037,495,460
92629572,495,460
92630109,496,460
92630644,494,460
92631181,496,460
92631717,495,460
92632253,494,461
92632790,496,460
92633325,495,460
92633862,494,461
92634398,495,460
92634934,495,460
92635470,496,461
92636006,495,460
92636542,495,460
92637078,494,460
92637615,494,460
92638151,494,460
92638687,495,460
92639223,495,460
92639759,494,460
92640299,495,460
92640834,496,460
92641371,495,461
92641907,494,460
92642443,494,460
92642979,494,460
92643515,494,461
92644051,496,460
92644588,495,461
92645124,495,460
92645660,495,460
92646196,495,460
92646732,495,460
92647268,495,460
92647804,495,460
92648341,495,460
92648877,496,460
92649413,496,460
92649949,496,460
92650485,495,460
92651022,494,460
92651557,495,460
92652094,496,460
92652630,495,460
92653166,494,461
92653703,495,460
92654241,494,460
92654778,495,460
92655313,495,460
92655850,494,461
92656386,494,460
92656922,493,461
92657459,494,460
92657994,494,460
92658531,495,460
92659067,496,460
92659603,494,460
92660140,495,460
92660675,495,460
92661212,494,460
92661748,494,460
92662284,495,460
92662820,495,460
92663356,495,461
92663892,494,461
